instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
35,975,1,1,1,1,1,1,2,1,1,0,0,1,0,1,1,1,2,1,2,1,1,2,2,2,1,0,2,1,1,1,0.71,1
36,1054,1,1,1,1,1,1,2,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0.83,1
37,290,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,0,0,0,1,0.53,0
38,902,0,0,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0.68,1
39,847,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,0,0,0,0,0,1,0.58,0
40,500,0,1,2,1,0,3,1,1,0,0,0,0,0,2,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0.6,1
41,988,0,0,1,1,0,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,2,2,1,0,2,1,1,1,0.87,1
42,373,0,1,1,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,2,0,0,1,1,0,1,0.58,1
43,400,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,2,2,0,1,0,0,1,1,0.64,1
44,308,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,0,1,1,0.67,1
45,112,1,1,0,1,0,1,0,1,0,0,0,0,0,2,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0.63,1
46,1062,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,1,2,2,2,2,0,0,1,0,0,1,0.52,0
47,192,0,1,1,1,0,3,1,1,0,1,1,0,0,0,0,0,0,0,1,2,2,2,2,2,0,0,1,1,1,1,0.91,1
48,586,0,0,1,1,0,1,2,1,1,1,2,1,1,1,1,0,2,1,2,1,1,0,0,0,1,1,2,1,1,1,0.61,1
49,113,1,0,1,0,0,5,2,1,1,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,1,0,2,1,1,1,0.64,0
50,230,0,0,1,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,2,2,1,0,0,0,0,1,1,0.92,1
51,1034,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,2,1,2,1,2,2,1,0,2,2,1,1,0.75,1
52,232,0,0,1,0,0,2,0,0,0,1,1,0,0,1,1,0,0,0,1,2,0,2,1,1,0,0,0,0,0,1,0.6,1
53,169,0,0,0,1,0,1,0,1,0,1,2,0,0,1,1,2,0,1,2,0,2,0,2,2,0,0,0,0,1,1,0.85,1
54,351,0,1,1,2,1,3,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,2,0,0,0,1,0,1,1,0.53,1
55,146,1,1,0,1,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,2,2,2,2,0,1,0,0,1,1,0.84,1
56,1106,1,2,1,2,0,5,1,0,0,0,1,0,0,0,0,1,0,0,2,2,1,2,2,2,0,0,0,0,0,1,0.74,1
57,827,0,1,1,1,1,2,1,0,0,0,0,0,0,3,0,0,0,0,0,1,2,1,1,2,0,0,1,0,1,1,0.52,0
58,519,1,1,1,2,1,4,1,1,1,1,2,1,1,1,1,0,2,1,2,0,2,2,2,2,0,1,2,0,1,1,0.69,1
59,1135,1,2,2,1,1,2,2,1,1,1,2,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0.69,0
60,467,1,1,2,1,0,4,2,1,1,0,0,1,1,1,1,1,2,1,2,0,1,1,0,1,1,1,2,2,1,1,0.79,1
61,797,1,1,1,1,0,1,2,1,1,1,2,0,0,1,1,2,1,1,2,1,1,2,2,2,1,0,1,2,1,1,0.77,1
62,1070,1,1,1,2,2,1,1,1,0,1,2,1,1,2,1,1,1,0,1,1,2,1,2,1,0,0,1,1,1,1,0.53,1
63,71,1,1,1,1,0,3,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,2,2,1,0,0,1,1,0,1,0.69,1
64,504,0,0,1,1,0,1,1,1,1,1,2,1,1,1,1,0,1,1,2,1,1,1,1,1,0,0,1,1,1,1,0.79,1
65,78,1,1,2,2,1,1,2,0,0,1,2,0,1,2,1,1,0,1,1,1,2,0,1,2,1,0,2,1,1,1,0.65,1
66,578,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,2,2,2,2,0,0,1,0,2,1,1,1,0.66,1
67,128,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,0,0,0,0,1,1,0.9,1
