instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
36,777,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,0,0,1,0,1,2,0,0,0.0,0
37,1160,1,0,0,1,1,2,1,1,0,0,0,1,1,2,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0.2,0
38,947,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,1,2,1,2,1,1,1,0,0,1,1,2,1,1,0,0.03,0
39,661,1,2,0,2,2,4,2,0,1,1,2,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0.11,0
40,272,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,0,1,1,0,0,0.26,0
41,597,1,0,2,0,0,2,1,1,1,1,2,1,1,1,1,0,2,1,2,0,0,0,1,1,1,0,1,1,0,0,0.05,0
42,622,1,0,1,1,1,1,2,1,0,0,0,1,1,1,1,2,2,1,2,1,0,1,1,1,1,0,2,2,0,0,0.21,0
43,72,0,0,1,0,0,3,0,0,0,0,0,1,1,3,1,0,1,1,1,2,0,0,0,0,0,0,2,2,1,0,0.21,1
44,156,0,0,1,0,0,3,2,0,0,0,0,1,0,2,1,0,1,1,1,1,0,1,2,2,1,0,0,1,0,0,0.13,0
45,483,1,2,3,2,2,2,3,1,1,0,0,1,1,3,1,0,2,1,2,1,1,1,1,0,1,0,2,2,0,0,0.02,0
